,group,recommend,typeNames,method,location,overallScore
16,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",TROLLING LINES,Mexico - Eastern Central Pacific Ocean,2.674
17,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",HANDLINES AND HAND-OPERATED POLE-AND-LINES,Mexico - Eastern Central Pacific Ocean: Gulf of California,2.674
18,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",ENCIRCLING GILLNETS,Mexico - Eastern Central Pacific Ocean: Gulf of California,2.674
19,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",MARINE NET PEN,Mexico - Eastern Central Pacific Ocean,5.73
20,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",INDOOR RECIRCULATING TANK (WITHOUT WASTEWATER TREATMENT),Worldwide,6.63
21,Amberjack,AVOID,"Amberjack, Buri Amberjack, Hamachi, Kanpachi, Japanese Amberjack, Japanese Yellowtail",MARINE NET PEN,Japan - Northwest Pacific Ocean,1.13
22,Amberjack,AVOID,"Amberjack, Greater Amberjack, Atlantic Amberjack, Buri, Kanpachi, Yellowtail",MARINE NET PEN,Japan - Northwest Pacific Ocean,1.12
23,Amberjack,AVOID,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",MARINE NET PEN,Japan - Northwest Pacific Ocean,1.13
24,Amberjack,AVOID,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",SET GILLNETS,Mexico - Eastern Central Pacific Ocean,1.595
25,Amberjack,AVOID,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",SET GILLNETS,Mexico - Eastern Central Pacific Ocean: Gulf of California,1.595
26,Amberjack,AVOID,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",DRIFT GILLNETS,Mexico - Eastern Central Pacific Ocean,1.788
0,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Mediterranean and Black Sea: Adriatic Sea,1.819
1,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Spain - Mediterranean and Black Sea: Mediterranean Sea,2.096
2,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Mediterranean and Black Sea: Gulf of Lion,2.127
3,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Mediterranean and Black Sea: Ligurian Sea,2.127
4,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Mediterranean and Black Sea: Ionian Sea,2.127
5,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Mediterranean and Black Sea: Ionian Sea,2.127
6,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Mediterranean and Black Sea: Ligurian Sea,2.127
7,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Mediterranean and Black Sea: Aegean Sea,2.455
8,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Mediterranean and Black Sea: Alboran Sea,2.127
9,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Mediterranean and Black Sea: Alboran Sea,2.127
10,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Mediterranean and Black Sea: Strait of Sicily,2.021
11,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Mediterranean and Black Sea: Black Sea,1.913
12,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Mediterranean and Black Sea: Gulf of Lion,2.127
13,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Mediterranean and Black Sea: Adriatic Sea,1.913
14,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Mediterranean and Black Sea: Aegean Sea,2.455
15,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Mediterranean and Black Sea: Strait of Sicily,2.021
16,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Spain - Mediterranean and Black Sea: Mediterranean Sea,2.096
17,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Mediterranean and Black Sea: Black Sea,1.913
18,Anchovy,AVOID,"Anchovy, European                         Anchovy",UNASSOCIATED PURSE SEINE (NON-FAD),Mediterranean and Black Sea: Adriatic Sea,2.44
19,Anchovy,AVOID,"Anchovy, European                         Anchovy",MIDWATER TRAWLS,Mediterranean and Black Sea: Adriatic Sea,2.44
20,Anchovy,,"Anchovy, Argentine             Anchovy",MIDWATER TRAWLS,Marine Stewardship Council Certified Fisheries (Bonaerense stock),10.0
21,Anchovy,,"Anchovy, European             Anchovy",PURSE SEINES,Marine Stewardship Council Certified Fisheries (Cantabrian Sea),10.0
0,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",RACEWAYS,Iceland,6.78
1,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",RACEWAYS,U.S.,6.72
2,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",SET GILLNETS,"Canada - Nunavut, Arctic Sea: Cambridge Bay",3.23
3,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",RACEWAYS,Canada,6.72
4,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout","BARRIERS, FENCES, WEIRS, CORRALS, ETC.","Canada - Nunavut, Arctic Sea: Cambridge Bay",3.76
5,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",INDOOR RECIRCULATING TANK (WITH WASTEWATER TREATMENT),Worldwide,6.91
6,Arctic Char,GOOD ALTERNATIVE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",INDOOR RECIRCULATING TANK (WITHOUT WASTEWATER TREATMENT),Worldwide,6.63
7,Arctic Char,,"Arctic Char             Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",ALL PRODUCTION METHODS,Aquaculture Stewardship Council Certified Arctic Char Farms (Worldwide),10.0
0,Barnacle,BEST CHOICE,"Barnacle, Leaf                         Barnacle, Goose Barnacle, Gooseneck Barnacle, Stalked Barnacle",HAND IMPLEMENTS,"Canada - British Columbia, Northeast Pacific Ocean",4.73
0,Bass,BEST CHOICE,"Bass, Striped                         Greenhead, Linesides, Rockfish, Striper, Suzuki",INDOOR RECIRCULATING TANK (WITH WASTEWATER TREATMENT),Worldwide,6.91
1,Bass,BEST CHOICE,"Bass, Sunshine                         Bass, Hybrid Striped Bass, Hybrid White Bass, Suzuki",TANKS,U.S.,7.17
2,Bass,BEST CHOICE,"Bass, Sunshine                         Bass, Hybrid Striped Bass, Hybrid White Bass, Suzuki",INDOOR RECIRCULATING TANK (WITH WASTEWATER TREATMENT),Worldwide,6.91
3,Bass,BEST CHOICE,"Bass, Sunshine                         Bass, Hybrid Striped Bass, Hybrid White Bass, Suzuki",PONDS,U.S.,6.9
4,Bass,GOOD ALTERNATIVE,"Bass, Striped                         Greenhead, Linesides, Rockfish, Striper, Suzuki",MARINE NET PEN,Mexico - Eastern Central Pacific Ocean,6.11
5,Bass,GOOD ALTERNATIVE,"Bass, Striped                         Greenhead, Linesides, Rockfish, Striper, Suzuki",INDOOR RECIRCULATING TANK (WITHOUT WASTEWATER TREATMENT),Worldwide,6.63
6,Bass,GOOD ALTERNATIVE,"Bass, Striped                         Greenhead, Linesides, Rockfish, Striper, Suzuki",HANDLINES AND HAND-OPERATED POLE-AND-LINES,U.S. - Northwest Atlantic Ocean,2.76
7,Bass,GOOD ALTERNATIVE,"Bass, Sunshine                         Bass, Hybrid Striped Bass, Hybrid White Bass, Suzuki",INDOOR RECIRCULATING TANK (WITHOUT WASTEWATER TREATMENT),Worldwide,6.63
8,Bass,AVOID,"Bass, Striped                         Greenhead, Linesides, Rockfish, Striper, Suzuki",STATIONARY UNCOVERED POUND NETS,U.S. - Northwest Atlantic Ocean,1.732
9,Bass,AVOID,"Bass, Striped                         Greenhead, Linesides, Rockfish, Striper, Suzuki",SET GILLNETS,U.S. - Northwest Atlantic Ocean,1.732
0,Bluefish,BEST CHOICE,Bluefish                         Bluefish,HANDLINES AND HAND-OPERATED POLE-AND-LINES,U.S. - Northwest Atlantic Ocean,4.31
1,Bluefish,GOOD ALTERNATIVE,Bluefish                         Bluefish,SET GILLNETS,U.S. - Northwest Atlantic Ocean,2.6
2,Bluefish,GOOD ALTERNATIVE,Bluefish                         Bluefish,BOTTOM TRAWLS,U.S. - Northwest Atlantic Ocean,2.52
0,Bowfin,GOOD ALTERNATIVE,"Bowfin                         Bowfish, Cyprus Trout, Dogfish, Grindle, Mudfish",SET GILLNETS,"U.S. - Louisiana, North America - Inland waters",2.8710000000000004
0,Bream,BEST CHOICE,"Bream, Gilthead                         Bream, Giltheaded Seabream, Silver Seabream",INDOOR RECIRCULATING TANK (WITH WASTEWATER TREATMENT),Worldwide,6.91
1,Bream,GOOD ALTERNATIVE,"Bream, Black seabream                         Black Bream, Seabream, Porgy",MIDWATER TRAWLS,France - Northeast Atlantic Ocean: English Channel,2.57
2,Bream,GOOD ALTERNATIVE,"Bream, Gilthead                         Bream, Giltheaded Seabream, Silver Seabream",INDOOR RECIRCULATING TANK (WITHOUT WASTEWATER TREATMENT),Worldwide,6.63
3,Bream,AVOID,"Bream, Black seabream                         Black Bream, Seabream, Porgy",BOTTOM TRAWLS,France - Northeast Atlantic Ocean: English Channel,1.8840000000000001
4,Bream,AVOID,"Bream, Black seabream                         Black Bream, Seabream, Porgy",SET GILLNETS,The United Kingdom of Great Britain and Northern Ireland - Northeast Atlantic Ocean: English Channel,1.963
5,Bream,AVOID,"Bream, Black seabream                         Black Bream, Seabream, Porgy",HANDLINES AND HAND-OPERATED POLE-AND-LINES,The United Kingdom of Great Britain and Northern Ireland - Northeast Atlantic Ocean: English Channel,1.911
6,Bream,AVOID,"Bream, Black seabream                         Black Bream, Seabream, Porgy",BOTTOM TRAWLS,The United Kingdom of Great Britain and Northern Ireland - Northeast Atlantic Ocean: English Channel,1.791
7,Bream,AVOID,"Bream, Gilthead                         Bream, Giltheaded Seabream, Silver Seabream",MARINE NET PEN,"Croatia, Cyprus, France, Greece, Italy, Malta, Portugal, Spain",4.42
8,Bream,AVOID,"Bream, Gilthead                         Bream, Giltheaded Seabream, Silver Seabream",MARINE NET PEN,Turkey,4.11
9,Bream,AVOID,"Bream, Gilthead                         Bream, Giltheaded Seabream, Silver Seabream",PONDS,Egypt,0.64
0,Brill,GOOD ALTERNATIVE,Brill                         Flounder,COMBINED GILLNETS - TRAMMEL NETS,United Kingdom of Great Britain and Northern Ireland - Northeast Atlantic Ocean,2.3369999999999997
1,Brill,AVOID,Brill                         Flounder,BEAM TRAWLS,United Kingdom of Great Britain and Northern Ireland - Northeast Atlantic Ocean,1.6880000000000002
2,Brill,AVOID,Brill                         Flounder,BOTTOM TRAWLS,United Kingdom of Great Britain and Northern Ireland - Northeast Atlantic Ocean,1.6880000000000002
0,Butterfish,GOOD ALTERNATIVE,"Butterfish, Antarctic                         Bluenose, Bluenose Warehou",SET LONGLINES,New Zealand - Southwest Pacific Ocean (BNS1),2.37
1,Butterfish,GOOD ALTERNATIVE,"Butterfish, Antarctic                         Bluenose, Bluenose Warehou",MIDWATER TRAWLS,New Zealand - Southwest Pacific Ocean (BNS1),2.66
2,Butterfish,GOOD ALTERNATIVE,"Butterfish, Antarctic                         Bluenose, Bluenose Warehou",SET LONGLINES,New Zealand - Southwest Pacific Ocean (BNS2),2.37
3,Butterfish,GOOD ALTERNATIVE,"Butterfish, Antarctic                         Bluenose, Bluenose Warehou",MIDWATER TRAWLS,New Zealand - Southwest Pacific Ocean (BNS2),2.66
4,Butterfish,AVOID,"Butterfish, Antarctic                         Bluenose, Bluenose Warehou",BOTTOM TRAWLS,New Zealand - Southwest Pacific Ocean (BNS1),1.83
5,Butterfish,AVOID,"Butterfish, Antarctic                         Bluenose, Bluenose Warehou",BOTTOM TRAWLS,New Zealand - Southwest Pacific Ocean (BNS2),1.83
0,Cabezon,GOOD ALTERNATIVE,Cabezon                         Sculpin,HANDLINES AND HAND-OPERATED POLE-AND-LINES,"U.S. - West Coast, Pacific Ocean (Nearshore, south of 40° 10')",2.839
1,Cabezon,GOOD ALTERNATIVE,Cabezon                         Sculpin,HANDLINES AND HAND-OPERATED POLE-AND-LINES,"U.S. - West Coast, Pacific Ocean (Nearshore, north of 40° 10')",3.096
0,Capelin,GOOD ALTERNATIVE,"Capelin                         Caplin, Masago","BARRIERS, FENCES, WEIRS, CORRALS, ETC.",Canada - Northwest Atlantic Ocean: Gulf of St. Lawrence,2.379
1,Capelin,GOOD ALTERNATIVE,"Capelin                         Caplin, Masago",PURSE SEINES,Canada - Northwest Atlantic Ocean,2.945
2,Capelin,GOOD ALTERNATIVE,"Capelin                         Caplin, Masago",PURSE SEINES,Canada - Northwest Atlantic Ocean: Gulf of St. Lawrence,2.924
3,Capelin,GOOD ALTERNATIVE,"Capelin                         Caplin, Masago",BOAT SEINES,Canada - Northwest Atlantic Ocean: Gulf of St. Lawrence,2.58
4,Capelin,GOOD ALTERNATIVE,"Capelin                         Caplin, Masago",BOAT SEINES,Canada - Northwest Atlantic Ocean,2.5980000000000003
5,Capelin,GOOD ALTERNATIVE,"Capelin                         Caplin, Masago","BARRIERS, FENCES, WEIRS, CORRALS, ETC.",Canada - Northwest Atlantic Ocean,2.379
6,Capelin,,"Capelin             Caplin, Masago",PURSE SEINES,Marine Stewardship Council Certified Fisheries (Northeast Atlantic),10.0
7,Capelin,,"Capelin             Caplin, Masago",MIDWATER TRAWLS,Marine Stewardship Council Certified Fisheries (Northeast Atlantic),10.0
0,Carp,BEST CHOICE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu","BARRIERS, FENCES, WEIRS, CORRALS, ETC.",U.S. - North America - Inland waters: Great Lakes,3.423
1,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Tennessee, North America - Inland waters: Mississippi River Basin",3.403
2,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",SEINE NETS (UNSPECIFIED),"U.S. - Missouri, North America - Inland waters: Mississippi River Basin",3.167
3,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Missouri, North America - Inland waters: Mississippi River Basin",3.167
4,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",FYKE NETS,"U.S. - Mississippi, North America - Inland waters: Mississippi River Basin",3.167
5,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Mississippi, North America - Inland waters: Mississippi River Basin",3.167
6,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",SEINE NETS (UNSPECIFIED),"U.S. - Louisiana, North America - Inland waters: Mississippi River Basin",3.403
7,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",FYKE NETS,"U.S. - Louisiana, North America - Inland waters: Mississippi River Basin",3.403
8,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Louisiana, North America - Inland waters: Mississippi River Basin",3.403
9,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Kentucky, North America - Inland waters: Mississippi River Basin",3.403
10,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",SEINE NETS (UNSPECIFIED),"U.S. - Iowa, North America - Inland waters: Mississippi River Basin",3.167
11,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",FYKE NETS,"U.S. - Iowa, North America - Inland waters: Mississippi River Basin",3.167
12,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",FYKE NETS,"U.S. - Indiana, North America - Inland waters: Mississippi River Basin",3.403
13,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Indiana, North America - Inland waters: Mississippi River Basin",3.403
14,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",FYKE NETS,"U.S. - Illinois, North America - Inland waters: Mississippi River Basin",3.403
15,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",SEINE NETS (UNSPECIFIED),"U.S. - Illinois, North America - Inland waters: Mississippi River Basin",3.403
16,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Arkansas, North America - Inland waters: Mississippi River Basin",3.167
17,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Iowa, North America - Inland waters: Mississippi River Basin",3.167
18,Carp,GOOD ALTERNATIVE,"Carp, Bighead Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Illinois, North America - Inland waters: Mississippi River Basin",3.403
19,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",SEINE NETS (UNSPECIFIED),U.S. - North America - Inland waters: Great Lakes,2.984
20,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",SEINE NETS (UNSPECIFIED),"U.S. - Iowa, North America - Inland waters: Mississippi River Basin",3.167
21,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",FYKE NETS,"U.S. - Iowa, North America - Inland waters: Mississippi River Basin",3.167
22,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Iowa, North America - Inland waters: Mississippi River Basin",3.167
23,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Arkansas, North America - Inland waters: Mississippi River Basin",3.167
24,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",SEINE NETS (UNSPECIFIED),"U.S. - Missouri, North America - Inland waters: Mississippi River Basin",3.167
25,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Tennessee, North America - Inland waters: Mississippi River Basin",3.403
26,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",FYKE NETS,"U.S. - Mississippi, North America - Inland waters: Mississippi River Basin",3.167
27,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Mississippi, North America - Inland waters: Mississippi River Basin",3.167
28,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Missouri, North America - Inland waters: Mississippi River Basin",3.167
29,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Louisiana, North America - Inland waters: Mississippi River Basin",3.403
30,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Kentucky, North America - Inland waters: Mississippi River Basin",3.403
31,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",SEINE NETS (UNSPECIFIED),"U.S. - Louisiana, North America - Inland waters: Mississippi River Basin",3.403
32,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",FYKE NETS,"U.S. - Louisiana, North America - Inland waters: Mississippi River Basin",3.403
33,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",FYKE NETS,"U.S. - Illinois, North America - Inland waters: Mississippi River Basin",3.403
34,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",SEINE NETS (UNSPECIFIED),"U.S. - Illinois, North America - Inland waters: Mississippi River Basin",3.403
35,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Indiana, North America - Inland waters: Mississippi River Basin",3.403
36,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",FYKE NETS,"U.S. - Indiana, North America - Inland waters: Mississippi River Basin",3.403
37,Carp,GOOD ALTERNATIVE,"Carp, Common European Carp, German Carp, Mirror Carp, Carfu",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Illinois, North America - Inland waters: Mississippi River Basin",3.403
38,Carp,GOOD ALTERNATIVE,"Carp, Grass Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Tennessee, North America - Inland waters: Mississippi River Basin",3.403
39,Carp,GOOD ALTERNATIVE,"Carp, Grass Carp",SEINE NETS (UNSPECIFIED),"U.S. - Missouri, North America - Inland waters: Mississippi River Basin",3.167
40,Carp,GOOD ALTERNATIVE,"Carp, Grass Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Missouri, North America - Inland waters: Mississippi River Basin",3.167
41,Carp,GOOD ALTERNATIVE,"Carp, Grass Carp",FYKE NETS,"U.S. - Mississippi, North America - Inland waters: Mississippi River Basin",3.167
42,Carp,GOOD ALTERNATIVE,"Carp, Grass Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Mississippi, North America - Inland waters: Mississippi River Basin",3.167
43,Carp,GOOD ALTERNATIVE,"Carp, Grass Carp",SEINE NETS (UNSPECIFIED),"U.S. - Louisiana, North America - Inland waters: Mississippi River Basin",3.403
44,Carp,GOOD ALTERNATIVE,"Carp, Grass Carp",FYKE NETS,"U.S. - Louisiana, North America - Inland waters: Mississippi River Basin",3.403
45,Carp,GOOD ALTERNATIVE,"Carp, Grass Carp",COMBINED GILLNETS - TRAMMEL NETS,"U.S. - Louisiana, North America - Inland waters: Mississippi River Basin",3.403
